Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Three Men and a Baby,1987,1h 42m,PG,6.1,60K,61.0,"Jack Holden and his friends, Peter and Michael, spend most of their time having flings with several women in their apartment. Their life changes when a mysterious baby appears at their doorstep.",https://www.imdb.com/title/tt0094137/?ref_=sr_i_1,"['Coline Serreau', 'James Orr', 'Jim Cruickshank']",['Leonard Nimoy'],"['Tom Selleck', 'Steve Guttenberg', 'Ted Danson', 'Nancy Travis', 'Margaret Colin', 'Alexandra Amini', 'Francine Beers', 'Lisa Blair', 'Michelle Blair', 'Philip Bosco']","$11,000,000 (estimated)","$10,384,392","$167,780,960","$167,780,960","November 25, 1987",['United States'],"['Scotia Plaza, Toronto, Ontario, Canada (Construction site that Peter visits is Scotia Plaza being built)']","['Touchstone Pictures', 'Silver Screen Partners III', 'Interscope Communications']","Awards, 2 wins & 2 nominations total","['Comedy', 'Drama', 'Family']",['English']
2. Fatal Attraction,1987,1h 59m,R,6.9,105K,67.0,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,https://www.imdb.com/title/tt0093010/?ref_=sr_i_2,['James Dearden'],['Adrian Lyne'],"['Michael Douglas', 'Glenn Close', 'Anne Archer', 'Ellen Latzen', 'Stuart Pankin', 'Ellen Foley', 'Fred Gwynne', 'Meg Mundy', 'Tom Brennan', 'Lois Smith']","$14,000,000 (estimated)","$7,602,740","$320,145,693","$156,645,693","September 18, 1987",['United States'],"['135 Mianus River Road, Bedford, New York, USA (exteriors: Gallagher country-house)']",['Paramount Pictures'],"Nominated for 6 Oscars, 10 wins & 24 nominations total","['Erotic Thriller', 'Psychological Thriller', 'Drama', 'Thriller']",['English']
3. Beverly Hills Cop II,1987,1h 43m,R,6.6,143K,46.0,"Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of ""alphabet crimes"" associated with it.",https://www.imdb.com/title/tt0092644/?ref_=sr_i_3,"['Danilo Bach', 'Daniel Petrie Jr.', 'Eddie Murphy']",['Tony Scott'],"['Eddie Murphy', 'Judge Reinhold', 'Jürgen Prochnow', 'Ronny Cox', 'John Ashton', 'Brigitte Nielsen', 'Allen Garfield', 'Dean Stockwell', 'Paul Reiser', 'Gilbert R. Hill']","$27,000,000 (estimated)","$26,348,555","$299,965,036","$153,665,036","May 20, 1987",['United States'],"['Acapulco - 385 North La Cienega Boulevard, Hollywood, Los Angeles, California, USA (strip club shoot out, now demolished)']","['Paramount Pictures', 'Don Simpson/Jerry Bruckheimer Films', 'Eddie Murphy Productions']","Nominated for 1 Oscar, 6 wins & 6 nominations total","['Buddy Cop', 'Action', 'Comedy', 'Crime', 'Thriller']",['English']
"4. Good Morning, Vietnam",1987,2h 1m,R,7.3,159K,67.0,"In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam.",https://www.imdb.com/title/tt0093105/?ref_=sr_i_4,"['Mitch Markowitz', 'Adrian Cronauer']",['Barry Levinson'],"['Robin Williams', 'Forest Whitaker', 'Tom T. Tran', 'Chintara Sukapatana', 'Bruno Kirby', 'Robert Wuhl', 'J.T. Walsh', 'Noble Willingham', 'Richard Edson', 'Juney Smith']","$13,000,000 (estimated)","$194,308","$123,923,090","$123,922,370","January 15, 1988",['United States'],"['Bangkok, Thailand']","['Touchstone Pictures', 'Silver Screen Partners III', 'Rollins, Morra & Brezner']","Nominated for 1 Oscar, 7 wins & 4 nominations total","['Dark Comedy', 'Period Drama', 'Biography', 'Comedy', 'Drama', 'War']",['English']
5. Moonstruck,1987,1h 42m,PG,7.2,73K,83.0,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",https://www.imdb.com/title/tt0093565/?ref_=sr_i_5,['John Patrick Shanley'],['Norman Jewison'],"['Cher', 'Nicolas Cage', 'Olympia Dukakis', 'Danny Aiello', 'Vincent Gardenia', 'Julie Bovasso', 'John Mahoney', 'Louis Guss', 'Feodor Chaliapin Jr.', 'Anita Gillette']","$15,000,000 (estimated)","$127,599","$80,646,431","$80,640,528","January 15, 1988",['United States'],"['19 Cranberry Street, Brooklyn, New York City, New York, USA']","['Metro-Goldwyn-Mayer (MGM)', 'Star Partners']","Won 3 Oscars, 18 wins & 19 nominations total","['Romantic Comedy', 'Comedy', 'Drama', 'Romance']","['English', 'Italian', 'Latin']"
6. The Untouchables,1987,1h 59m,R,7.8,342K,79.0,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.",https://www.imdb.com/title/tt0094226/?ref_=sr_i_6,"['David Mamet', 'Oscar Fraley', 'Eliot Ness']",['Brian De Palma'],"['Kevin Costner', 'Sean Connery', 'Robert De Niro', 'Charles Martin Smith', 'Andy Garcia', 'Richard Bradford', 'Jack Kehoe', 'Brad Sullivan', 'Billy Drago', 'Patricia Clarkson']","$25,000,000 (estimated)","$10,023,094","$76,272,360","$76,270,454","June 3, 1987",['United States'],"['Roosevelt University - 430 S. Michigan Avenue, Downtown, Chicago, Illinois, USA (front entrance and main lobby used as Lexington Hotel, where Al Capone lives)']",['Paramount Pictures'],"Won 1 Oscar, 11 wins & 18 nominations total","['Cop Drama', 'Gangster', 'Period Drama', 'Police Procedural', 'Crime', 'Drama', 'Thriller']",['English']
7. The Secret of My Success,1987,1h 51m,PG-13,6.5,38K,36.0,"A talented young man can't get an executive position without rising through the ranks, so he comes up with a shortcut, which also benefits his love life.",https://www.imdb.com/title/tt0093936/?ref_=sr_i_7,"['Jim Cash', 'Jack Epps Jr.', 'AJ Carothers']",['Herbert Ross'],"['Michael J. Fox', 'Helen Slater', 'Richard Jordan', 'Margaret Whitton', 'John Pankow', 'Christopher Murney', 'Gerry Bamman', 'Fred Gwynne', 'Carol Ann Susi', 'Elizabeth Franz']","$12,000,000 (estimated)","$7,766,452","$110,996,879","$66,995,879","April 10, 1987",['United States'],"['919 Third Avenue, New York City, New York, USA (Pemrose Roof and Jog Track)']","['Rastar Pictures', 'Universal Pictures']","Awards, 1 win & 1 nomination total","['Comedy', 'Romance']",['English']
8. Stakeout,1987,1h 57m,R,6.7,29K,69.0,"Two detectives observe an escaped convict's ex-girlfriend, but complications set in when one of them falls for her.",https://www.imdb.com/title/tt0094025/?ref_=sr_i_8,['Jim Kouf'],['John Badham'],"['Richard Dreyfuss', 'Emilio Estevez', 'Madeleine Stowe', 'Aidan Quinn', 'Dan Lauria', 'Forest Whitaker', 'Ian Tracey', 'Earl Billings', 'Jackson Davies', 'J.J. Makaro']","$14,500,000 (estimated)","$5,170,403","$65,673,233","$65,673,233","August 5, 1987",['United States'],"[""810 Millbank, Vancouver, British Columbia, Canada (Chris's home on the waterfront)""]","['Touchstone Pictures', 'Silver Screen Partners II', 'Cinderella']","Awards, 2 wins total","['Buddy Cop', 'Action', 'Comedy', 'Crime', 'Thriller']",['English']
9. Lethal Weapon,1987,1h 49m,R,7.6,285K,68.0,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,https://www.imdb.com/title/tt0093409/?ref_=sr_i_9,"['Shane Black', 'Jeffrey Boam']",['Richard Donner'],"['Mel Gibson', 'Danny Glover', 'Gary Busey', 'Mitchell Ryan', 'Tom Atkins', 'Darlene Love', 'Traci Wolfe', 'Jackie Swanson', 'Damon Hines', 'Ebonie Smith']","$15,000,000 (estimated)","$6,829,949","$120,207,127","$65,207,127","March 6, 1987",['United States'],"[""2817 Via Segovia, Palos Verdes Peninsula, California, USA (Michael Hunsaker's House)""]","['Warner Bros.', 'Silver Pictures']","Nominated for 1 Oscar, 5 wins & 3 nominations total","['Action', 'Crime', 'Holiday', 'Thriller']",['English']
10. Dirty Dancing,1987,1h 40m,PG-13,7.1,268K,65.0,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle.",https://www.imdb.com/title/tt0092890/?ref_=sr_i_10,['Eleanor Bergstein'],['Emile Ardolino'],"['Patrick Swayze', 'Jennifer Grey', 'Jerry Orbach', 'Cynthia Rhodes', 'Jack Weston', 'Jane Brucker', 'Kelly Bishop', 'Lonny Price', 'Max Cantor', ""Charles 'Honi' Coles""]","$6,000,000 (estimated)","$3,900,000","$214,577,242","$64,577,242","August 21, 1987",['United States'],"['Mountain Lake Resort - 115 Hotel Circle, Pembroke, Virginia, USA']","['Great American Films Limited Partnership', 'Vestron Pictures']","Won 1 Oscar, 13 wins & 9 nominations total","['Coming-of-Age', 'Feel-Good Romance', 'Teen Romance', 'Drama', 'Music', 'Romance']",['English']
11. The Witches of Eastwick,1987,1h 58m,R,6.5,81K,67.0,"Three single women in a picturesque village have their wishes granted, at a cost, when a mysterious and flamboyant man arrives in their lives.",https://www.imdb.com/title/tt0094332/?ref_=sr_i_11,"['John Updike', 'Michael Cristofer']",['George Miller'],"['Jack Nicholson', 'Cher', 'Susan Sarandon', 'Michelle Pfeiffer', 'Veronica Cartwright', 'Richard Jenkins', 'Keith Jochim', 'Carel Struycken', 'Helen Lloyd Breed', 'Caroline Struzik']","$22,000,000 (estimated)","$9,454,238","$63,766,541","$63,766,510","June 12, 1987",['United States'],"['Cohasset, Massachusetts, USA']","['Warner Bros.', 'The Guber-Peters Company', 'Kennedy Miller Productions']","Nominated for 2 Oscars, 5 wins & 13 nominations total","['Dark Comedy', 'Witch Horror', 'Comedy', 'Fantasy', 'Horror']",['English']
